question,option_a,option_b,option_c,option_d,correct,explanation,time
La transmission en large bande transporte:,Des signaux numériques,Des signaux analogiques,Des signaux cryptés,Des adresses IP,B,Broadband = transmission analogique multi-canaux.,180
Le multiplexage TDM signifie:,Time Division Multiplexing,Transmission Data Mode,Token Division Method,Total Data Multiplexing,A,TDM = Multiplexage par répartition temporelle.,180
Le multiplexage FDM utilise:,La fréquence,Le temps,Les adresses MAC,Les protocoles TCP,A,FDM = Multiplexage en fréquence.,180
Le codage Manchester code le bit 0 par:,Un front descendant,Un front montant,Pas de transition,Deux impulsions,B,"Manchester code 0 = front montant, 1 = front descendant.",180
Quel codage ajoute des transitions même pour de longues suites de 0?,NRZ,NRZI,Manchester,Bipolaire,B,"NRZI inverse la tension à chaque 0, assurant des transitions.",180
Quelle est la caractéristique d’un signal bipolaire?,Un seul niveau de tension,Deux niveaux de tension,Trois niveaux de tension,Pas de synchronisation,C,"Le codage bipolaire alterne entre -a, 0 et +a.",180
Quelle est la taille d’un en-tête Ethernet (hors données)?,8 octets,14 octets,18 octets,64 octets,C,"L’en-tête Ethernet standard fait 18 octets (MAC, type, CRC).",180
Combien de machines peut-on adresser dans un réseau /24?,64,128,254,512,C,"Un /24 = 256 adresses, moins réseau + broadcast = 254 hôtes.",180
"Si on double la puissance d’un signal, de combien de dB augmente-t-elle?",1 dB,3 dB,6 dB,10 dB,B,Doubler une puissance correspond à +3 dB.,180
"Wi-Fi 5 utilise 256-QAM, Wi-Fi 6 utilise 1024-QAM. Quel est le gain approximatif de débit?",10%,25%,40%,100%,C,Passer de 256-QAM à 1024-QAM augmente le débit d'environ 40%.,180
Quel est le rôle principal d’un pont (bridge) dans un réseau?,Traduire entre protocoles différents,Relier deux segments réseau,Attribuer des adresses IP,Répéter un signal affaibli,B,Un pont relie deux segments réseau et filtre selon les adresses MAC.,180
Quelle est la différence principale entre un hub et un switch?,"Le hub filtre selon les adresses MAC, le switch diffuse partout","Le hub diffuse partout, le switch filtre selon les adresses MAC","Le hub fonctionne en couche 3, le switch en couche 1","Le hub traduit les protocoles, le switch relie les réseaux",B,"Le hub diffuse les trames à tous, le switch envoie seulement au bon port.",180
Quelle est la principale différence entre un switch et un routeur?,"Le switch fonctionne en couche 2 (MAC), le routeur en couche 3 (IP)","Le switch traduit entre protocoles, le routeur répète le signal","Le switch attribue des adresses IP, le routeur gère les VLANs","Le switch connecte Internet, le routeur connecte des ordinateurs locaux",A,"Le switch travaille avec les adresses MAC (couche 2), le routeur avec les adresses IP (couche 3).",180
